,Ratings,Title,Content
5,5.0 out of 5 stars,a non technical review by a middle aged woman,"







  
  
    My son got these for me for Christmas. My phone picked them up instanly. I didn't have to do anything to ""hook them up"".  I registered them on the apple site and then googled how to use them. Well they are quite easy to use. I adjusted the settings for my right and left ear. I have had them in for hours and I forgot they were in. Now I understand why people walk around with them in their ears 24/7. I was also shocked to hear my incoming text read to me while I was wearing them. Wow!!! My husband is a tractor trailor driver, I will be getting him some for the sole reason of the text reading. I fully understand that I am 5 years behind the times but this review is for other middle aged people who have no idea what ipods are.
  
"
6,5.0 out of 5 stars,Price and technology,"







  
  
    I have had AirPods since day one, after 4 years the battery went dead. 4 years so that speaks for the value and the endurance of the product. On top of that Amazon comes in at the absolute lowest price you can find ! Buy them and I promise you will not regret the purchase!Amazon is the the place you want to purchase this product, you will not find a better price or product guarantee
  
"
7,5.0 out of 5 stars,"Sure, you can't afford these... but buy them anyway.","







  
  
    If you don't have AirPods yet, you may or may not know just how annoying earbud wires are.  If you don't have them yet, AirPods seem like a slight improvement from those much less expensive earbuds that came with your phone.  I came hear to tell you that AirPods are without a doubt the smartest purchase you'll make today.  Maybe, like me, you can't really justify spending $160 on earbuds, since you already have a pair and they're - fine.  Well... sometimes the key to success is learning to ignore your own ignorance.  There are things you shouldn't bother spending money on (cable tv, birthday cards, men's underwear that isn't Merino wool, meat at Wal-mart, etc.)  AirPods are not on that list. So stop questioning it.  Buy these magic ear spoons.  You'll bounce back financially in no time and forget you ever spent the money.  Sure, AirPodsare a little expensive, but consider the cost of not owning them.And no they won't fall out of your ears - unless you're driving on a back road in Maine in late February.
  
"
8,5.0 out of 5 stars,Probably The Best BT Earbuds I've Owned... And I've Owned Plenty!,"







  
  
    I have to admit, I have been an Apple product hold out for years. I owned an i4S phone a long time ago and avoided Apple altogether. I owned upwards of a dozen other BT earbuds and thought i knew what quality was. I was wrong. I am impressed at both the voice clarity and battery life. There is no comparison. My daily commute can be 2 hours each way and I drive with them in enjoying my conversation. What I truly didn't expect but have a lot of respect for is when I drive with the window down, the person on the other end of the phone doesn't comment, doesn't complain about disturbance. Rock on. Finally I can retire the others and use this.
  
"
9,5.0 out of 5 stars,Best Earbuds I’ve ever Owned - beats Bose,"







  
  
    I am a musician and as such have used a variety of headphones and earbuds. For recording you want a flat response but for pleasure, you want a slightly sweetened sound. I have two pair of Bose earbuds that I really like but I was shocked at how good these AirPods sounded. I heard instruments I’d not heard before. Better stereo separation and great deep but articulated bass.And they run for hours, handle voice commands perfectly and are great in my office for phone work. And they literally recharge to 100% in 15 minutesThese are the best sonic and overall earbuds I’ve ever owned.
  
"
0,5.0 out of 5 stars,Love them!,"







  
  
    Absolutely love these!  Like others, I wish I hadn’t waited so long to buy them. They’ve improved my quality of life. I can now watch shows late at night without being worried about the neighbors complaining (I’m also a bit hard of hearing.) They have allowed me the flexibility to crank up the music while I’m cooking or cleaning. I can get lots more done and still enjoy the music. They help me understand the instructions in my yoga class as the sound is more consistent when I’m (or the instructor) are in different positions. They stay in place and recharge quickly. Even when I’m recharging my device, I can use the AirPod to listen to a program, ebook, music or whatever before falling sleeping and the next morning everything is good to go. Easy to set up with my other devices and that’s really saying something from me 😁.
  
"
1,5.0 out of 5 stars,Airbuds are great,"







  
  
    These Apple Airpods are great for listening while you are active doing other things. I was reluctant to order the AirPods because I had doubts that they would stay in my ears. So far, that has not been a problem. I am still somewhat paranoid that one will fall out of my ear and I will fail to notice. That concern is somewhat reduced because if one should fall out, they both stop working. I ought to be able to notice that. Sound quality is not great, but good enough to wear while you're at the gym or merely walking around. Some degree of noise cancellation is achieved by the pods blocking the ear canal. I would not want active cancellation because I want awareness of what is happening around me. I haven't taken note of the battery life because I recharge the case after each use of the pods.
  
"
2,5.0 out of 5 stars,It's worth the money to invest in Air Pods vs. generic wireless ear buds,"







  
  
    I have owned a decent pair of wireless earbuds to use with my iPhone for years.  They were great, had a great battery life, and could be used one at a time.  I could not, however, use them when making a call; the recipient could not hear my conversation.Bonus with AirPods that I didn't realize: there is a lot of built in Apple functionality that doesn't work with non-Apple ear buds. When you wear the ear buds, you receive audio announcements for texts and other app notifications.  I was not aware of that!
  
"
3,5.0 out of 5 stars,Genuine 2nd Generation AirPods,"







  
  
    My AirPods were purchased directly from Apple and were shipped by Amazon, so I was expecting and received a genuine product.  I read a lot of comments regarding if these are the 2nd generation AirPods, and I was a little confused myself.  The charging case for the AirPods that I received had the indicator light on the inside of the case instead of on the outside; which is how Apple designed the first generation of AirPods.  After doing some research, this is also how Apple designed the second generation of AirPods, IF they do NOT have wireless charging.  So the only AirPods that do have the indicator on the outside of the case are the second generation, wireless charging AirPods.  After checking my products warranty on Apple's website, it confirmed that these are the 2nd generation AirPods; and also confirmed that these are real AirPods.
  
"
4,5.0 out of 5 stars,Great quality sound for music and phone,"







  
  
    I got these as a gift from my daughters and could not be happier. The sound quality is great! I use them for phone hands free driving, multi tasking while on the phone, work calls etc. as well as for music. They sound great and the feedback from other callers is excellent as far as how I sound. I can hear the caller and my music perfectly and they have great dynamic range for music.  The noise cancellation issue is a trade off that I rated fairly at a 3 but that is not a negative. These fit loosely so that makes them extremely comfortable to wear and just about forget they're on for long periods of time. However, the fact that they are loose fitting does allow other noise to enter. This is a positive if you are in the car, have other people that may speak to you from time to time while you're wearing them etc. To me these are a great balance. I have another brand that I've had for years that fit really tightly and while they block out ambient noise they're also less comfortable and it's really hard to have them on while other people are around or you're needing to hear anything at all except the headphones. To me this is a great balance and I am extremely pleased with these!
  
"
5,5.0 out of 5 stars,I didn’t realize how good it is until I bought it,"







  
  
    I never thought wireless AirPods one day could be an object I can’t live without. We all know many other brands also have such great products. But I love AirPods just because it is so tiny, invisible, and I get so used to it. My ears love it. I love how free I feel with AirPods and unlike other wireless headphones, it is light and chic just as all those regular AirPods I have over many years. This is my second pair as I lost last one somewhere I still couldn’t recall. And it also made me realized that if I don’t open the case lid, my AirPods would never send out the signals. And I could no longer trace it as it clearly outside of the signal range of my phone.
  
"
6,5.0 out of 5 stars,Great Buy,"







  
  
    I bought these for my husband for Father's Day and he loves them.  The sound quality is good as well as the battery life.  These ear pods stay in his ears unlike some others that he has tried.  The price was comparable to other web sites that I tried, but I bought them from Amazon, because of the two day delivery and easy returns in case something went wrong.  Nothing went wrong and the hubby is happy.
  
"
7,5.0 out of 5 stars,Almost perfect,"







  
  
    My wife wanted these since the time I bought a pair for myself. These are amazing as they play audio as soon as you put them in your ears and pause when you take them out. A simple double-tap during music listening will skip forward. To adjust the volume, change the song, make a call, or even get directions, just say ""Hey Siri"" to activate your favorite personal assistant. Improvement over Gen 1. Plus, when you're on a call or talking to Siri, an additional accelerometer helps to filter out background noise and ensure that your voice is clear. They deliver five hours of listening time and they're made to keep up with you thanks to a charging case that holds multiple additional charges for more than 24 hours of listening time.We love it and can’t really think our daily lives without it.The only problem that I had sometimes that they slip from my ears. My wife though never had any such complains.
  
"
8,5.0 out of 5 stars,Excellent for calls on my Pixel 4,"







  
  
    I love Apple's hardware/build quality, but I don't like their software / find their ecosystem restrictive, so I try to avoid them.But they've totally nailed it with the Airpods.Stop overthinking this purchase.I've always liked the Apple wired earbuds, and these fit the exact same.A friend had the Pros so I could try them too, but I didn't like the feeling of them being deeper in my ear for long periods of time. And oddly enough, noise cancelling makes me feel physically ill (which happens to a small % of people with devices that do active noise cancelling).I chose these because my priority was microphone quality to sound clear on calls, whether at home or walking + talking. I like to walk + talk, but using my Apple wired earbuds made me feel very encumbered and it picked up all sorts of random background/street noise.Based on reviews, I can't seem to find Bluetooth earbuds that score as well on calls as Airpods.Airpods connect quickly + reliably and music sounds solid, too.And their charging case just feels convenient/awesome too.I think Airpods 2 are the perfect everyday versatile Bluetooth earbuds for anyone, from work calls to personal use (e.g. podcasts/music).I wouldn't recommend them for running/working out since I'd be worried about them always falling out of my ears. In which case, I think there are plenty of ~$40 Bluetooth earbuds that work well for that (and you're less distraught if you lose them / they break).If you don't mind earbuds deeper in your ears for longer periods of time, Airpods Pro could be great for all uses, including exercise.Unfortunately having an Android phone limits Airpods functionality, but I recommend the AirBattery app so you can easily see their battery levels.If you're in the market for Bluetooth earbuds, and you're not an obsessive audiophile - do yourself a favor and follow the masses by buying some damn Airpods (or Pros)! I wasted a *ton* of time researching and trying to find good alternatives outside of Apple...and they just really don't seem to exist.
  
"
9,5.0 out of 5 stars,A Gym MUST,"







  
  
    I’ve been in the market for new Bluetooth headphones for awhile while workingout. The ones I used were large, fell off easy, and would get in the way while lifting weights.I need something that wouldn’t destroy the bank, had a long battery life, and would stay in my ears while laying on a bench or pressing weights above my head.They connected to my phone with no issue after opening, the charger and booklet looked good as new.I highly suggest this to anybody looking for new headphones while at the gym, my only suggestion is to clean them after use if you sweat a lot to ensure they stay in good condition (though it isn’t necessary).You’ll need to charge fairly often though, after a new hour session, I find that the charging box will be about 50-60% battery.Hope this helps someone!
  
"
0,5.0 out of 5 stars,amazing!,"







  
  
    I love these AirPods. Get them while they r on sale. You won’t regret it. If your a first time user, these will completely change your life. Easy to use they automatically connect to my phone when I take them out of the case. And I love how you can customize when you tap the left or right AirPod, (left AirPod-pause, right AirPod-skip song.) These have a great connection, I have a two story house and I was upstairs and my phone was outside and they still worked. I wear these all the time. Buy them now!!
  
"
1,5.0 out of 5 stars,It's an Apple product what's to say?,"







  
  
    It's an Apple product, and like all Apple products its very beautifully and nicely packaged, and for the most part works very good.  And, like all Apple products they are manufactured by China for pennies on the dollar, and then Apple marks up the price by a thousand percent, and passes that very expensive price to US customers. Nothing more needs to be said about Apple products and business practices in the US, and support for foreign labor, instead of US labor. And, don't forget the Apple Care they would love for you to get, that strangely always seems to expire just a few days before your product gives out. It's like if they install a Mission Imposible ""this item will self destruct in 5 sec"" destruct switch inside your item to go off a few days before your Apple care expires.
  
"
2,5.0 out of 5 stars,Great for what my daughter wanted.,"







  
  
    Bought these for my daughter for her birthday. She is in love with them. Of course who hasn’t been, but that’s standard, right? They work flawlessly, and seem to be doing everything the way they were supposed to. She has worn them everyday, and they have been holding up great. I would suggest that you keep the box that they come in as you would any Apple product, so that you have the serial number of them, just in case they are stolen. It has happened at her school, and the box is what saved the one child from having them gone forever. Luckily, I do not allow my daughter to take them to school, although I cannot watch her every move, so I trust she isn’t.
  
"
3,5.0 out of 5 stars,Super light and comfortable!,"







  
  
    These are very light. It's hard to imagine how some find these uncomfortable since they don't weigh anything. I wore one while working and with plenty of background noise and I could hear the airpod loud and clear. I also used with the Apple Watch w/cellular and that combo is excellent as well.  I haven't ran one dead yet but I don't listen to music all day long either.  The charging case really would fix and battery concerns though.  As far as music goes there's not really any bass.  It still sounds great.  I can't say whether any other ear buds are better though so may not be an issue.  They do seem to stay in the ear for all activities.  If you are wearing them under a helmet or hoodie (like I do) they can get pulled loose but I wouldn't worry about it falling out otherwise.
  
"
4,5.0 out of 5 stars,I look cool,"







  
  
    Now when I talk to myself people can see that I have these things in my ear and think oh he’s talking to someone on the phone… yeah sure, that’s what I’m doing…….. ;)
  
"
5,5.0 out of 5 stars,❤️❤️ ❤️ SOOOO MUCH!,"







  
  
    I know I’ve tried every wireless headphone there is on the market! I could not talk on the phone clearly with any of them! I was about to give up when the guy at the nail salon told me about these! At this point I’d spent so much on the cheap ones that I decided to “invest” in these! I’m SOOOOO happy with them and they’re well worth the investment! The people on the other end of my phone say they can hear me better than speaker and the Bluetooth in my car! After I raved about them constantly to my family they have all bought a pair! Even my mother in law bought a pair. Now, we’re all picking out our waterproof and AirPod cases!
  
"
6,5.0 out of 5 stars,Seamless connection and great fit,"







  
  
    Shocked that these fit as the free plug ins that apple provides never fit me. My ears are on the small side; I usually use the smallest plugs. These are not what I’d call secure but good enough. If I am going in walks (or working out) I suggest getting those clips that fit on the ends do that you don’t lose these as it does not take much movement to fall out. For seating or lying it is not a big issue. Seamless Bluetooth connection to the phone and can work easily with multiple devices. When switching just go to settings/bluetooth and hit connect if switching devices from the one last used. Could greatly improve the battery life, that being said they recharge quickly but this doesn’t help when in the go.
  
"
7,5.0 out of 5 stars,Simplicity & Great Sound at it’s Best!,"







  
  
    Great deal. Very simple set up, it’s done automatically for you as soon as you turn on Bluetooth. Small footprint to carry and store. Just received yesterday so I’m looking at battery life today and will come back to update. Comfortable to wear and feels secure in my ears which I ALWAYS have a problem with earphones staying in place just staying still. It’s quite nice to not worry about that anymore. I also bought a great pouch with a silicone case, ear fitters, lanyard that attaches to to pods, wristband pod holder with a nice zip case with a clip to house it all. So I’m set and very happy with my purchases!!!
  
"
8,5.0 out of 5 stars,"AirPod 2 pods, Non-wireless Charger. Still an awesome product!","







  
  
    I’d like to mention some things to clear up confusion for some.The pods are AirPods 2 models with models A2032/2031 imprinted on the underside of each pod respectfully. Also when saying “Hey Siri,” the pods will wait for next response vs. the AirPods 1 where you’d have to set a double tap action to activate it.The charging case on the other hand is the regular lightning charging case without wireless charging as there is no light in the front to indicate wireless charging. This is indicated on the product details as it should and is correct. I personally do not thing the wireless charger is worth it unless you already have a wireless charging pad laying around so the regular will do.Overall, sound quality is great and clear.Battery lasts fairly long and are worth getting if you can get them for a cheaper price.I got these for my girlfriend and she loves them. You will definitely see me in the AirPods Pro once my original AirPods die and they became cheaper.I suggest getting some in-ear rubber hooks if they seem fairly slippery as they can improve the quality with some added bass. Not drastic but good enough, noticeable difference, and they won’t slip and fall out when you’re working out. :)
  
"
9,5.0 out of 5 stars,A major improvement over most earbuds and intelligently links with my iPhone,"







  
  
    I bought this because of a holiday sale. More than I would usually spend on earbuds, but I had recently upgraded my iPhone and my new model only has the lightning adapter for headphone connections. While I did but adapters for it, the brand I bought didn't seem to work (there were three in the package and I haven't tested the others yet). When I saw this on sale, I went ahead and purchased it. It is a joy to use and sounds great. Once linked yo your phone, the Airpods link to the phone the minute you open the charging case and pull out the buds-- automatically. And while I prefer a rubberized tip, the molded plastic does not fall out of my ear. So I'm very happy with the purchase.
  
"
0,5.0 out of 5 stars,I see now what all the fuss is about,"







  
  
    I didn't originally want to spend the extra money for airpods, and had some other brand wireless bluetooth headphones. Those worked fine (until they stopped charging for no reason), but the airpods really do work so much better, especially if you have an iphone. Connecting them to the iphone takes seconds, you just hold the case next to your phone and open it. The sound quality is great. The automatic pausing when you take out one airpod is a great feature, and they have a pretty long range - I can leave my phone downstairs and still be connected. The battery life isn't the longest but they charge super quick so it's not a big deal. They're also really comfortable, I have weirdly small ears and I can wear these for hours without any pain or irritation.
  
"
1,5.0 out of 5 stars,Great headphones!,"







  
  
    I really-really like them!!! I was dropping my iPhone pretty regularly (and, therefore, had to send it to Apple for an out-of-warranty battery replacement couple of times) because headphone wires kept getting somewhere (cabinet knobs and handles most of the times). So my wife decided to get me wireless ones. And these ones rock!* Sound quality has definitely improved. I'm sure Apple has a smart explanation for that  but all I can say is yes, I hear that the sound is better in these headphones than in regular (wired) ones.* Noise cancellation definitely works - I have to remove one of the headphones to hear someone.* Cool feature: when you remove one of the headphones from your ear, the video/music you're currently watching/listening to is paused!!!! Can you believe this??? But wait! There is more! When you put that headphone back in, that video/music is resumed!!!  magic!* Battery life is good/excellent (I'd rate it 4.5 out of 5). It is definitely not outstanding/fantastic/mind-blowing but it is pretty darn good for the size.I can't thank my wife enough for this present!
  
"
2,5.0 out of 5 stars,"Love them, wish the battery life on actual airpods were longer","







  
  
    I love them, never been fond of Bluetooth ear pieces because they were too big but these are perfect. The battery life is pretty decent. I try to only use one ear at a time because they can block out sound, your ears will hurt if you wear them too long, and of one battery goes low I can switch to the other ear. The AirPod charging case battery lasts pretty long it’s the airpods that lose charge quick depending on how much you use them. If you’re a heavy user I suggest putting them in charging case everyday and putting charger case on its lightning cord. if not you can get away with charging them in the case without the lightening cord and only need to put the case on its lightening cord every so often.
  
"
3,5.0 out of 5 stars,Love these!!!,"







  
  
    I had been putting off buying a pair of Apple Airpods for a few years now just because I refused to pay so much money for wireless headphones and I bough other brands of ones instead that were much cheaper. They all sounded terrible and worked just okay, but I finally pulled the trigger on these and I wish I had done it years ago.  They're great.  They sound pretty good and they just work.  I love that I can make phone calls with them and have Siri at my beck and call whenever I need something.  Also I love that I can use just one at a time, and it can be either the right or left one.  These are well thought out, as most apple stuff tends to be.  Only thing I don't love is the battery life, but I guess what do you expect for things so small?!
  
"
4,5.0 out of 5 stars,Great for Running,"







  
  
    In ear headphones are tough for me - they are either uncomfortable or fall out. These are not either! I can wear them for hours and they stay comfortable. As a runner the fear of them falling out was strong at first. However, after YEARS of using my first pair, I never once had that problem. On the road or the treadmill, for hours of running. After about 5 years my first pair finally gave up on life and I bought these and they are much the same and I feel they are worth the investment.
  
"
5,5.0 out of 5 stars,Omg I am officially obsessed,"







  
  
    For the longest time I thought I didn’t need these. I thought they were just expensive and not worth it. I thought my regular cord having earphones were fine. Boy was I wrong. I love the mess out of these!!! My cord would always get hooked on things and rip the phone iut of my pocket or the pod out of my ear. Not anymore!! These awesome air pods let me know when someone is calling me, who it is and if i want to answer. They let me know when i get texts, who they are form and WHAT THEY SAY! i can brag about these babies enough if you are on the fence BUY THEM!!
  
"
6,5.0 out of 5 stars,Great Sound and Exceptional Quality.,"







  
  
    I ordered the Apple AirPods during the Black Friday sale. Got a great price. Got the package the following Wednesday. They arrived wrapped in the factory plastic. I opened the box and everything was there. It came with the chargeable case with a pair of AirPods. Also a Lightning to USB cable for charging, as well as all of the printed materials.They paired very easily with my iPhone XR. They are super easy to use and the sound is superb. I highly recommend these if you want a great pair of ear buds. Obviously, they aren’t gonna work well while cutting the grass due to the noise. However, if you want a quality set of ear buds, these are the ones.I want to add, these are the latest (2nd Generation) Apple AirPods. I did check on the AirPods themselves and the model is A2032. I just wanted to add that last little bit in case someone questions whether these indeed are the latest model available.
  
"
7,5.0 out of 5 stars,Pre-named with an insult? Really?,"







  
  
    Definitely genuine Apple product, and they came in sealed Apple packaging. But I was dismayed that they came already named.I was further upset that they were named:”stupid’s AirPods”.Ok, yeah, perhaps  I am in fact stupid... but still, how did they know that?🤣Anyhow, they work well.Although, this will likely be the last time I buy an Apple product from amazon.
  
"
8,5.0 out of 5 stars,"Convenient, Good Sound Quality","







  
  
    Most convenient purchase of my life. Easy to walk around the city and have my podcast in my ears on my way to work. Some of which are poor quality so it's nice to have high quality buds so I don't miss a single second of the true crime stories. They stay in my ear so well! And sometimes I forget I am wearing them because they are so comfortable and light. And the charging case is genius, you put you buds securely away and they charge without you having to think about it. I charge the case every couple days and can listen to fully charged bugs for a solid 1/4 of a day before I need to charge again. And with my hair down, my coworkers have no idea I am tuning them out with cold cases and serial killers.
  
"
9,5.0 out of 5 stars,LOVE with a capital L!,"







  
  
    Well, I think I love these for the reason everyone else does. No annoying wires, discreet if you have long hair 😊 sound is great and works seamlessly with your iPhone. I find myself listening to music far more than I did before and telephone conversations, on the go, are a breeze as well. I did have problem getting them delivered but I won’t go into it because Amazon made it right fairly quick. And just to let you know because I read all the questions and answers before purchasing, no Amazon is not lying to you these are the latest model AirPods ( gen 2 ) but without the wireless charging case. The case still holds extra charge but you will have to plug it in to charge. You can tell you have received the 2nd gen by turning on messages with Siri, only with 2 gen and some Beats headphones Siri can read you your text messages as they come in. Cheers!
  
"
0,5.0 out of 5 stars,These Classic Earbuds Are Great,"







  
  
    I tried a some earbuds that were highly rated by CNET and they sounded so tinny that I had to return them.  Bought the Apple AirPods and all was well. I use the earbuds mostly to get the news from NPR, so I was interested in talk clarity. The Apple AirPods fit the bill. I have tried ear phones that had built in noise canceling and found that the noise cancellation affected the quality of the audio, so the fact the AirPods did not have noise cancellation was a plus for me.  Something to consider, after a lot of hard use and occasional drops to the cement, my last set of Apple AirPods gave out after 3-4 years.  Hopefully, the new ones will last longer.
  
"
1,5.0 out of 5 stars,Amazing,"







  
  
    These earbuds are great. I was hesitant to get them at first, fearing they would fall out of my ears or I would lose them. They are secure in my ears whenever I wear them and carrying them around in the charging case makes it less likely to lose them. I did forget about them in my pocket and ran them through the wash. I took them out and they played normally right away. I put them in rice for 72 hours and they still played fine.I have used these with my iPhone XS, Windows 10 laptop and iPad and for all devices they work great.I am still getting used to the commands/taps that come with these. I would like to find more info on that.I bought these when they were under $100, which I felt was a steal. They are great to have!
  
"
2,5.0 out of 5 stars,Best Purchase,"







  
  
    After trying so many other bluetooth earbuds, these are the best ones yet. I am an Android user and was told by iPhone users that the Airpods won't work, well the did. Great sound quality for myself and the other person on the other end of the phone/video call and for music as well as a long lasting battery. I'm going to feel like Oprah during Christmas is this $99 sale is still going on, EVERYONE in my family will receive an AirPod 2 Gen. I love them and my husband does too.
  
"
3,5.0 out of 5 stars,Grandson is happy with the AirPods,"







  
  
    These were purchased for my grandson.  He likes them very much and I purchased the case for him to store them in for protection and safety.  He can clip them to his pant loop and go and know they are protected and safe.My only concern is the music he chooses.  I pray he is listening to music that will edify and not influence him for wrong.  Music is powerful and has a great influence over all of us.  So much out there today I wouldn't want anyone to expose themselves to, but being a grand mother, it is not my responsibility to govern his ears and heart, but I pray for him.  Yes, I bought the AirPods.  He is going to listen regardless of how he listens.  Just hoping his heart is right and he will listen to music that edifies his spirit.  We should always remember Shadrack, Mechach and Abednigo.  When they heard the music they were to bow to the image.  Just sayin.  The AirPods are nice.  I would recommend them.
  
"
4,5.0 out of 5 stars,Tried the imitations - these are worth the money!,"







  
  
    We initially tried a pair of AirPod-like earbuds and they were pretty good. It was just difficult paying $200+ for earbuds when there were so many good alternatives on the market. When the price dropped, we decided to give the real deal a try and boy are we happy with our decision. All of the Apple convenience (easy pairing to all devices, sound, great fit, small footprint) shine through and make these a wonderful set of earbuds.
  
"
5,5.0 out of 5 stars,No going back!,"







  
  
    Someone told me that buying airpods was like buying an ipod.....once you had that ipod, there was no going back to a CD player!  It's the same thing.....once you have the airpods, there's no going back to headphones with a cord!If you are delaying, just BUY THEM.  Of all the new tech items I have bought (apple watch, google home, etc.), this is the one that I can say with absolute certainty that is essential.It's a godsend when I'm walking my dog, talking to people while doing other things like folding laundry, or just being able to listen to my podcasts/music while doing chores.Do it!
  
"
6,5.0 out of 5 stars,Just do it!,"







  
  
    I have an iPhone XR and wanted some wireless headphones. I went with an off brand at first and it was a terrible decision. After that experience I knew I needed to just buy the Apple brand and get a good product. Yes, they are a little more expensive than an off brand - but seriously? They are worth it and more.If you're hesitating like I did at first... Let me tell you for sound quality, battery life, and ease of use - this is the product you want. No doubt.
  
"
7,5.0 out of 5 stars,My perfect Bluetooth headset,"







  
  
    These headphones are perfect for daily use. The charge time is fantastic as well as the over all life of the headsets. The sound quality is as expected, they have good low end for that they are, the mid’s are clear and high end is bright. As these are not a completely enclosed ear bud they do have a little ambient back ground bleeding. This small amount of extra noise isn’t a problem. I use these ear buds when I ride my motorcycle under my helmet. I have no problems with to much wind noice or other sounds blocking out what I’m trying to listen to. I find it’s nice to have some noice reduction with out being completely blocked off from my surroundings. I’ve had no issues with them falling out of my ears or being bumped out of place.
  
"
8,5.0 out of 5 stars,Worth the money,"







  
  
    My friend who I talk to on the phone every day tried a bunch of cheaper brands and we would always have trouble hearing each other or they would break. Then she got these and we both noticed a big difference. So I got some for myself and am very happy with them. They are worth the extra money. Sound quality is great. It is easy to have a conversation in the car or while walking or doing other things. Get the rubber cushion thingies too, or the newer version that has them built in, or you might have trouble with them falling out. I never leave them in more than an hour and the battery lasts at least that long.
  
"
9,5.0 out of 5 stars,AMAZING!!!!,"







  
  
    These things are amazing. I bought these when my old ones where lost and I couldn’t go with my beats; I bought them because they where the cheapest AirPods. But these things sound amazing, they noise cancel fine for when I’m on the bus in the morning and I need to drown out all of the noise, they are also very, very, very comfortable sometimes I forget they are not in my ear. Also they can go a full week on one charge and I have them in for at least 5-7 hours every day. But all around the only small complaint is the noise canceling is you have to have the AirPods at almost full blast. But all around great headphones
  
"
0,5.0 out of 5 stars,Great headphones for the apple user,"







  
  
    I bought these for my GF for Christmas and she is in love.  Before this, she hadn't had any wireless bluetooth earbuds before, so this review is coming from a ""non audiophile"" and first time user for headphones like this.  it paired to her iPhone instantly and she says the fit is very comfortable.  She often wears them for hours listening to audio books.  There ins't much in the noise cancelation catagorey, but that's expected with ""buds"".  The fact that you can pause the music with gestures and also by taking one ear bud out blew us away.  Would recommend this product or any Apple user looking for a great pair of buds.
  
"
1,1.0 out of 5 stars,Received 1st Gen Pods - Not 2nd,"







  
  
    I just received these thinking they were the Apple AirPods 2 (as description says latest model). I received the first generation pods which I already had. Very disappointed - there was almost a month long wait. I was so excited to get to mailbox after work today...womp womp
  
"
2,5.0 out of 5 stars,Love AirPods,"







  
  
    This is my second pair of airpods. I absolutely love these things. I think these ones are better than the pros if you want to be able to wear them but still have a concept of what is going on around you. I use these all the time for phone calls, and people say that I am heard perfectly. It makes hand free talking extremely easy. I wear them for school work, and for music as well. I am extremelypleased with the sound quality on these little guys as well. If you are looking for someone completely noise cancelling, get the pros. But I think these hold a lot of value in not being as noise cancelling because you can wear them in public and still know what is going on around you for safety.
  
"
3,5.0 out of 5 stars,I bought these for my husband,"







  
  
    So I bought these for my husband because he kept telling me how much he loved mine and. Let’s face it lol I didn’t wanna come home one day and they be gone … so I bought these and he absolutely loves them and uses them all the time .. definitely worth the money and very well used .
  
"
4,5.0 out of 5 stars,"Great sound, perfect for remote working","







  
  
    With COVID forcing my employer to send us all home to work remotely.  I was using my gym headphones for conference calls.  I finally decided to give in and purchase some Airpods after I came to terms with the ""new normal"".  (I can't fully express my distaste for that phrase ""new normal"").  Anyway, I digress, I was skeptical if they would stay in my ears comfortably as I have ALWAYS had issues with headphones staying in while working out.  They work perfectly for both conference calls and gym time.  My calls are clear for both myself and those listening, and when I work out (and run) they stay in without me having to mess with them.  Also, with my pumpkin spice lattes, Ugg boots, and now Airpods I can truly take my ""basic"" look to a whole new level!
  
"
5,5.0 out of 5 stars,the only style that fit my tiny ears,"







  
  
    These stay in.  They sound good.  FINALLY I found a pair that work!  I tried several brands of ear pods for under $50 as I didn't want to spend so much on something that I felt is easily lost. Every other pair fell out and frankly I don't want 100% noise cancellation when I'm out in public because I just don't feel it's safe not to be aware of your surroundings.  I am SO glad I took the plunge and splurged on these.  They pair easily.  They are comfortable (4/5 rating).  They are easy to store safely on my Apple watch attachment. Sound quality suits me just find.  I'm using them for my skype meetings at work with no problems. And they do not fall out!
  
"
6,5.0 out of 5 stars,Life changing,"







  
  
    Well, I was late on the purchase of these because I didn't want yet another piece of electronics to keep up with and charge! Yet, now I am here to tell you that these are an amazing, and well pretty much life changing. No more having to untangle the headset cords, or only being able to charge your iPhone while listening to a podcast or music; or slamming them in the car door (yes, I managed to do this while on the Vineyard for vacation) and all but destroying them. The charge lasts pretty much a full day.
  
"
7,5.0 out of 5 stars,Best thing since sliced 🍞,"







  
  
    I ordered these on Prime day because I just couldn’t resist. My package arrived a day before the estimated date so I couldn’t be more excited. Great so far except I can’t seem to get the double tap function down. I’m not sure if it’s not working properly or if it may just be user error.  Also, it states in the product description that this IS the WIRED version. It seems that there may be confusion about this feature. This has been my first day using them and I will make sure to update this review if anything changes. These AirPods appear to be authentic after verifying the serial # on the official checkcoverage.apple.com site. It states they are indeed the 2nd generation., I’m not sure if people are getting used/ refurbished AirPods after sending them back as a return, but mine seemed to be in the original packaging and untouched.
  
"
